Topic 0
Topic coherence: -5917.2405377
AVG: -2.4502031212
SD:  1.01567338727
net usair  0.00134656908552     -7.96797317966/-5917.2405377
shr usair  0.00131164503648     -7.76131918095/-5917.2405377
qtr usair  0.00128862551719     -7.62510714824/-5917.2405377
ct usair  0.00124074858833     -7.34180784394/-5917.2405377
loss usair  0.00123959501598     -7.33498187887/-5917.2405377
excludes expect  0.00123330600405     -7.29776828253/-5917.2405377
bank discontinue  0.00123319154573     -7.29709100516/-5917.2405377
profit usair  0.00119932954107     -7.09672137849/-5917.2405377
quarter usair  0.00113913222163     -6.74051935961/-5917.2405377
end usair  0.00112201320583     -6.63922202537/-5917.2405377
operation usair  0.00112168129536     -6.63725803128/-5917.2405377
tax usair  0.00111855161901     -6.61873898352/-5917.2405377
expect usair  0.0011161657296     -6.60462110197/-5917.2405377
business excludes  0.00111281455443     -6.58479139239/-5917.2405377
excludes rise  0.00110345672052     -6.52941883826/-5917.2405377
usair year  0.00108339739385     -6.41072297735/-5917.2405377
earnings usair  0.00108078445643     -6.39526159812/-5917.2405377
excludes total  0.00107239790581     -6.34563636083/-5917.2405377
discontinue loan  0.00106105563635     -6.27852142417/-5917.2405377
bank usair  0.00104752860341     -6.19847871649/-5917.2405377
note usair  0.00104140799732     -6.16226161805/-5917.2405377
sale usair  0.00103169597273     -6.10479323241/-5917.2405377
income usair  0.00102038625631     -6.03787091992/-5917.2405377
corp usair  0.00101944250926     -6.03228654163/-5917.2405377
revenue usair  0.00100608438957     -5.95324333429/-5917.2405377
bank excludes  0.000998910996838     -5.91079664404/-5917.2405377
gas usair  0.000995674279978     -5.89164421183/-5917.2405377
billion usair  0.000984181291831     -5.82363743646/-5917.2405377
expect shr  0.000982790710441     -5.81540903189/-5917.2405377
oper usair  0.000977453112728     -5.78382518233/-5917.2405377
oper rise  0.000977453112728     -5.78382518233/-5917.2405377
result usair  0.000975184653258     -5.770402162/-5917.2405377
mln usair  0.000965503052595     -5.71311380209/-5917.2405377
excludes report  0.00096546816815     -5.71290738243/-5917.2405377
credit usair  0.00096279565622     -5.69709348651/-5917.2405377
expect rev  0.000961314709764     -5.6883303701/-5917.2405377
bank rev  0.00096120025145     -5.68765309273/-5917.2405377
canadian qtr  0.00095977119115     -5.67919699918/-5917.2405377
excludes pct  0.000959358296507     -5.67675380227/-5917.2405377
include usair  0.00094475877073     -5.59036489651/-5917.2405377
loan usair  0.000943915361903     -5.58537424361/-5917.2405377
dlrs usair  0.000930832263455     -5.50795840311/-5917.2405377
report usair  0.000927757422762     -5.48976383112/-5917.2405377
rev rise  0.000927151612101     -5.48617910372/-5917.2405377
cash excludes  0.000923851691771     -5.46665268137/-5917.2405377
rise shr  0.000922513467752     -5.45873408795/-5917.2405377
canadian shr  0.000922513467752     -5.45873408795/-5917.2405377
excludes u.s.  0.000920080877098     -5.44433986392/-5917.2405377
canada discontinue  0.000919022857746     -5.43807930892/-5917.2405377
excludes unit  0.000912085761108     -5.39703083948/-5917.2405377
cash shr  0.000906406267242     -5.36342390815/-5917.2405377
excludes sell  0.000901217173663     -5.33271879327/-5917.2405377
cash qtr  0.000899493948461     -5.32252205524/-5917.2405377
gain usair  0.000893704928337     -5.28826703069/-5917.2405377
excludes interest  0.000889382501079     -5.2626901889/-5917.2405377
excludes revenue  0.000888944115119     -5.26009615373/-5917.2405377
sell shr  0.000878174512322     -5.19636982349/-5917.2405377
lt usair  0.000876183512938     -5.18458860122/-5917.2405377
discontinue pct  0.000876130906652     -5.18427731717/-5917.2405377
expect oper  0.00086031283828     -5.09067800177/-5917.2405377
canadian rev  0.000858628944225     -5.08071399561/-5917.2405377
excludes reserve  0.00085529926816     -5.06101150142/-5917.2405377
excludes march  0.000852569326831     -5.04485778192/-5917.2405377
earnings excludes  0.000846503907537     -5.008967237/-5917.2405377
company excludes  0.000844397105599     -4.99650078316/-5917.2405377
