Topic 0
Topic coherence: -1764.59681616
AVG: -2.26230361047
SD:  1.21778609759
net usair  0.00451546387632     -7.96797317966/-1764.59681616
shr usair  0.00439835270576     -7.76131918095/-1764.59681616
qtr usair  0.00432116111646     -7.62510714824/-1764.59681616
ct usair  0.0041606149216     -7.34180784394/-1764.59681616
loss usair  0.00415674663565     -7.33498187887/-1764.59681616
bank discontinue  0.00413527381344     -7.29709100516/-1764.59681616
profit usair  0.00402172400714     -7.09672137849/-1764.59681616
quarter usair  0.00381986372063     -6.74051935961/-1764.59681616
end usair  0.00376245835001     -6.63922202537/-1764.59681616
operation usair  0.00376134535124     -6.63725803128/-1764.59681616
tax usair  0.00375085057555     -6.61873898352/-1764.59681616
expect usair  0.0037428499482     -6.60462110197/-1764.59681616
usair year  0.00363296755306     -6.41072297735/-1764.59681616
earnings usair  0.0036242055633     -6.39526159812/-1764.59681616
discontinue loan  0.00355804870929     -6.27852142417/-1764.59681616
bank usair  0.00351268837148     -6.19847871649/-1764.59681616
note usair  0.00349216408054     -6.16226161805/-1764.59681616
sale usair  0.00345959664921     -6.10479323241/-1764.59681616
income usair  0.00342167166155     -6.03787091992/-1764.59681616
corp usair  0.00341850698492     -6.03228654163/-1764.59681616
revenue usair  0.00337371306565     -5.95324333429/-1764.59681616
gas usair  0.00333880473877     -5.89164421183/-1764.59681616
billion usair  0.00330026518416     -5.82363743646/-1764.59681616
expect shr  0.00329560213337     -5.81540903189/-1764.59681616
oper usair  0.00327770351241     -5.78382518233/-1764.59681616
result usair  0.00327009666409     -5.770402162/-1764.59681616
mln usair  0.00323763125364     -5.71311380209/-1764.59681616
credit usair  0.00322855251371     -5.69709348651/-1764.59681616
include usair  0.00316806924126     -5.59036489651/-1764.59681616
loan usair  0.00316524102982     -5.58537424361/-1764.59681616
dlrs usair  0.00312136934208     -5.50795840311/-1764.59681616
report usair  0.00311105844736     -5.48976383112/-1764.59681616
gain usair  0.00299686986979     -5.28826703069/-1764.59681616
lt usair  0.00293811512847     -5.18458860122/-1764.59681616
discontinue pct  0.00293793872327     -5.18427731717/-1764.59681616
expect oper  0.00288489583294     -5.09067800177/-1764.59681616
pct usair  0.00277490880629     -4.89659524472/-1764.59681616
company usair  0.00277480797866     -4.8964173246/-1764.59681616
charge usair  0.00271465165628     -4.79026566966/-1764.59681616
