Topic 0
Topic coherence: -11074.9434412
AVG: -2.76527926123
SD:  1.19224542301
net usair  0.000719459491774     -7.96797317966/-11074.9434412
shr usair  0.000700799893212     -7.76131918095/-11074.9434412
fell shr  0.000700799893212     -7.76131918095/-11074.9434412
qtr usair  0.000688500775529     -7.62510714824/-11074.9434412
chemlawn year  0.000678047279054     -7.50933526602/-11074.9434412
billion chemlawn  0.000671161472592     -7.4330753489/-11074.9434412
ct usair  0.000662920572271     -7.34180784394/-11074.9434412
loss usair  0.000662304229163     -7.33498187887/-11074.9434412
loss piedmont  0.000662304229163     -7.33498187887/-11074.9434412
chemlawn loss  0.000662304229163     -7.33498187887/-11074.9434412
excludes expect  0.000658944067863     -7.29776828253/-11074.9434412
bank discontinue  0.000658882913838     -7.29709100516/-11074.9434412
bank chemlawn  0.000658882913838     -7.29709100516/-11074.9434412
bank shell  0.000658882913838     -7.29709100516/-11074.9434412
fell rev  0.000657153565755     -7.27793857295/-11074.9434412
piedmont rev  0.000657153565755     -7.27793857295/-11074.9434412
rev shell  0.000657153565755     -7.27793857295/-11074.9434412
chemlawn net  0.000656872519277     -7.2748259991/-11074.9434412
chemlawn group  0.000646018229788     -7.15461535691/-11074.9434412
chemlawn report  0.000641014717702     -7.09920174355/-11074.9434412
profit usair  0.00064079075583     -7.09672137849/-11074.9434412
piedmont shr  0.000638212920715     -7.06817200039/-11074.9434412
chemlawn shr  0.000638212920715     -7.06817200039/-11074.9434412
shell shr  0.000638212920715     -7.06817200039/-11074.9434412
chemlawn pct  0.000629893671549     -6.9760367864/-11074.9434412
oil piedmont  0.000629414508085     -6.97073007814/-11074.9434412
chemlawn oil  0.000629414508085     -6.97073007814/-11074.9434412
chemlawn u.s.  0.000627399796447     -6.9484172607/-11074.9434412
ct piedmont  0.000626309540327     -6.93634273583/-11074.9434412
piedmont qtr  0.000625913803032     -6.93195996768/-11074.9434412
chemlawn qtr  0.000625913803032     -6.93195996768/-11074.9434412
qtr shell  0.000625913803032     -6.93195996768/-11074.9434412
net piedmont  0.000620261487333     -6.86936089099/-11074.9434412
chemlawn current  0.000616297507293     -6.82546003626/-11074.9434412
chemlawn unit  0.000612492988031     -6.7833252006/-11074.9434412
quarter usair  0.000608627881069     -6.74051935961/-11074.9434412
piedmont quarter  0.000608627881069     -6.74051935961/-11074.9434412
chemlawn include  0.00060397393636     -6.68897718518/-11074.9434412
chemlawn ct  0.000600333599775     -6.64866066338/-11074.9434412
chemlawn investment  0.00060024580792     -6.64768837356/-11074.9434412
end usair  0.000599481348198     -6.63922202537/-11074.9434412
operation usair  0.000599304011483     -6.63725803128/-11074.9434412
operation piedmont  0.000599304011483     -6.63725803128/-11074.9434412
tax usair  0.000597631854161     -6.61873898352/-11074.9434412
piedmont tax  0.000597631854161     -6.61873898352/-11074.9434412
chemlawn tax  0.000597631854161     -6.61873898352/-11074.9434412
january piedmont  0.00059690562573     -6.61069604472/-11074.9434412
chemlawn january  0.00059690562573     -6.61069604472/-11074.9434412
expect usair  0.000596357095367     -6.60462110197/-11074.9434412
expect piedmont  0.000596357095367     -6.60462110197/-11074.9434412
chemlawn expect  0.000596357095367     -6.60462110197/-11074.9434412
chemlawn due  0.00059469122256     -6.58617165485/-11074.9434412
business excludes  0.000594566593258     -6.58479139239/-11074.9434412
business piedmont  0.000594566593258     -6.58479139239/-11074.9434412
chemlawn rev  0.000594566593258     -6.58479139239/-11074.9434412
chemlawn compare  0.000593689338052     -6.5750758406/-11074.9434412
chemlawn month  0.000589895728515     -6.53306182954/-11074.9434412
excludes rise  0.000589566788571     -6.52941883826/-11074.9434412
increase piedmont  0.000586551127085     -6.49602055786/-11074.9434412
note piedmont  0.000582390666347     -6.4499436905/-11074.9434412
chemlawn reserve  0.000582152486534     -6.44730586254/-11074.9434412
usair year  0.000578849274613     -6.41072297735/-11074.9434412
piedmont year  0.000578849274613     -6.41072297735/-11074.9434412
chemlawn mln  0.000578446383644     -6.40626098265/-11074.9434412
piedmont profit  0.000578203783334     -6.40357419793/-11074.9434412
asset piedmont  0.000578203783334     -6.40357419793/-11074.9434412
chemlawn profit  0.000578203783334     -6.40357419793/-11074.9434412
asset chemlawn  0.000578203783334     -6.40357419793/-11074.9434412
chemlawn cost  0.000578203783334     -6.40357419793/-11074.9434412
earnings usair  0.000577453206154     -6.39526159812/-11074.9434412
chemlawn earnings  0.000577453206154     -6.39526159812/-11074.9434412
chemlawn credit  0.000576999846633     -6.39024066707/-11074.9434412
earn shr  0.000575625948218     -6.37502481983/-11074.9434412
excludes total  0.000572972349204     -6.34563636083/-11074.9434412
chemlawn total  0.000572972349204     -6.34563636083/-11074.9434412
billion piedmont  0.000571963468151     -6.33446306023/-11074.9434412
capital chemlawn  0.000567587376663     -6.28599809451/-11074.9434412
discontinue loan  0.000566912278828     -6.27852142417/-11074.9434412
chemlawn loan  0.000566912278828     -6.27852142417/-11074.9434412
chemlawn fell  0.00056657282762     -6.27476202124/-11074.9434412
end piedmont  0.000562870316253     -6.23375691726/-11074.9434412
bank usair  0.000559684909397     -6.19847871649/-11074.9434412
bank piedmont  0.000559684909397     -6.19847871649/-11074.9434412
chemlawn interest  0.000557924377091     -6.17898092078/-11074.9434412
note usair  0.000556414725795     -6.16226161805/-11074.9434412
chemlawn note  0.000556414725795     -6.16226161805/-11074.9434412
march piedmont  0.000554717963408     -6.14347007059/-11074.9434412
piedmont rise  0.000552955756627     -6.12395373015/-11074.9434412
chemlawn rise  0.000552955756627     -6.12395373015/-11074.9434412
chemlawn debt  0.000551627881007     -6.10924758276/-11074.9434412
sale usair  0.000551225680276     -6.10479323241/-11074.9434412
piedmont sale  0.000551225680276     -6.10479323241/-11074.9434412
chemlawn increase  0.00054994009514     -6.09055544975/-11074.9434412
chemlawn lt  0.000548254880798     -6.07189179622/-11074.9434412
operate piedmont  0.000546254117443     -6.04973345523/-11074.9434412
chemlawn operate  0.000546254117443     -6.04973345523/-11074.9434412
chemlawn quarter  0.000546040908573     -6.04737217905/-11074.9434412
income usair  0.00054518300269     -6.03787091992/-11074.9434412
income piedmont  0.00054518300269     -6.03787091992/-11074.9434412
corp usair  0.000544678767312     -6.03228654163/-11074.9434412
piedmont report  0.000541816713261     -6.00058945488/-11074.9434412
chemlawn gain  0.000540085305445     -5.98141421125/-11074.9434412
canada piedmont  0.000537775872271     -5.95583736946/-11074.9434412
canada chemlawn  0.000537775872271     -5.95583736946/-11074.9434412
ct shell  0.000537746627278     -5.95551348282/-11074.9434412
investment piedmont  0.000537658835424     -5.954541193/-11074.9434412
revenue usair  0.000537541646679     -5.95324333429/-11074.9434412
piedmont revenue  0.000537541646679     -5.95324333429/-11074.9434412
chemlawn revenue  0.000537541646679     -5.95324333429/-11074.9434412
chemlawn operation  0.000536717038986     -5.94411085072/-11074.9434412
bank excludes  0.000533708968845     -5.91079664404/-11074.9434412
gas usair  0.000531979620761     -5.89164421183/-11074.9434412
earn rev  0.000531979620761     -5.89164421183/-11074.9434412
chemlawn gas  0.000531979620761     -5.89164421183/-11074.9434412
compare piedmont  0.000531102365556     -5.88192866004/-11074.9434412
chemlawn sale  0.000531077175455     -5.8816496811/-11074.9434412
mln piedmont  0.000527916483342     -5.84664519471/-11074.9434412
chemlawn sell  0.000527636501986     -5.84354441703/-11074.9434412
billion usair  0.000525839022778     -5.82363743646/-11074.9434412
expect shr  0.000525096047916     -5.81540903189/-11074.9434412
fiscal piedmont  0.00052498060714     -5.81413053183/-11074.9434412
chemlawn fiscal  0.00052498060714     -5.81413053183/-11074.9434412
oper usair  0.000522244218493     -5.78382518233/-11074.9434412
oper rise  0.000522244218493     -5.78382518233/-11074.9434412
fell oper  0.000522244218493     -5.78382518233/-11074.9434412
earn oper  0.000522244218493     -5.78382518233/-11074.9434412
oper piedmont  0.000522244218493     -5.78382518233/-11074.9434412
oper reduce  0.000522244218493     -5.78382518233/-11074.9434412
oper shell  0.000522244218493     -5.78382518233/-11074.9434412
net shell  0.000521063482892     -5.77074860233/-11074.9434412
result usair  0.000521032201438     -5.770402162/-11074.9434412
chemlawn result  0.000521032201438     -5.770402162/-11074.9434412
note shell  0.00051980369385     -5.75679650994/-11074.9434412
corp piedmont  0.00051870282676     -5.74460446918/-11074.9434412
chemlawn company  0.000518622529809     -5.74371518499/-11074.9434412
current piedmont  0.000517099502853     -5.72684774759/-11074.9434412
mln usair  0.000515859411147     -5.71311380209/-11074.9434412
excludes report  0.000515840772708     -5.71290738243/-11074.9434412
earnings piedmont  0.000514866233657     -5.70211441756/-11074.9434412
credit usair  0.000514412874136     -5.69709348651/-11074.9434412
credit piedmont  0.000514412874136     -5.69709348651/-11074.9434412
piedmont subsidiary  0.000513804832008     -5.69035945432/-11074.9434412
expect rev  0.000513621618049     -5.6883303701/-11074.9434412
bank rev  0.000513560464024     -5.68765309273/-11074.9434412
piedmont unit  0.00051329498359     -5.68471291194/-11074.9434412
exclude piedmont  0.000513192667528     -5.68357976734/-11074.9434412
canadian qtr  0.000512796930234     -5.67919699918/-11074.9434412
fell qtr  0.000512796930234     -5.67919699918/-11074.9434412
excludes pct  0.00051257632442     -5.67675380227/-11074.9434412
chemlawn reduce  0.000509269638938     -5.64013244758/-11074.9434412
chemlawn dlrs  0.000508636597194     -5.63312154607/-11074.9434412
chemlawn march  0.000508593518035     -5.63264444682/-11074.9434412
canadian piedmont  0.000508139941621     -5.62762111369/-11074.9434412
canadian chemlawn  0.000508139941621     -5.62762111369/-11074.9434412
month piedmont  0.000507160251198     -5.61677109767/-11074.9434412
chemlawn extraordinary  0.000506501168601     -5.60947179518/-11074.9434412
extraordinary shell  0.000506501168601     -5.60947179518/-11074.9434412
piedmont resource  0.000506169814414     -5.6058020663/-11074.9434412
chemlawn resource  0.000506169814414     -5.6058020663/-11074.9434412
include usair  0.000504775931919     -5.59036489651/-11074.9434412
include piedmont  0.000504775931919     -5.59036489651/-11074.9434412
loan usair  0.000504325306331     -5.58537424361/-11074.9434412
