Topic 0
Topic coherence: -732.389691357
AVG: -1.68365446289
SD:  0.708606688354
oper report  0.00639715843758     -4.68521289366/-732.389691357
report shr  0.0063160705559     -4.62582496502/-732.389691357
loan oper  0.00569968053778     -4.1743872699/-732.389691357
billion oper  0.00559930169297     -4.10087083872/-732.389691357
loan sale  0.00470792580288     -3.4480363257/-732.389691357
oper pct  0.00450432136262     -3.29891853254/-732.389691357
ct loan  0.00435665326219     -3.19076793804/-732.389691357
loan operation  0.00433037516218     -3.17152212848/-732.389691357
pct shr  0.00421700412081     -3.08849034649/-732.389691357
oper share  0.0041747494416     -3.05754345503/-732.389691357
lt oper  0.00407003181236     -2.98084934286/-732.389691357
loan lt  0.00405679687838     -2.97115621366/-732.389691357
loan shr  0.0040491130205     -2.96552863535/-732.389691357
ct report  0.0040243038973     -2.94735868927/-732.389691357
credit share  0.00399870425023     -2.92860977165/-732.389691357
loan share  0.00398773717656     -2.92057759995/-732.389691357
corp loan  0.00398527077438     -2.91877123242/-732.389691357
pct qtr  0.00393257176318     -2.88017501988/-732.389691357
mln oper  0.00393219687827     -2.87990045803/-732.389691357
oper sale  0.00392682626563     -2.87596707669/-732.389691357
credit lt  0.00391909867429     -2.87030746846/-732.389691357
qtr report  0.00391198193089     -2.86509523896/-732.389691357
loan profit  0.00390859525698     -2.8626148739/-732.389691357
loan year  0.00389222342524     -2.8506243131/-732.389691357
company credit  0.00388753363834     -2.84718956152/-732.389691357
company loan  0.00387918258276     -2.8410733345/-732.389691357
corp credit  0.00384141222899     -2.81341071676/-732.389691357
loan qtr  0.00380784338474     -2.78882524129/-732.389691357
dlrs oper  0.00376018821847     -2.75392308877/-732.389691357
credit ct  0.00375722286679     -2.75175129576/-732.389691357
oper year  0.00375680327766     -2.75144399301/-732.389691357
gain loan  0.00374491311314     -2.74273575909/-732.389691357
credit report  0.00372718775715     -2.72975389109/-732.389691357
corp tax  0.00370302620928     -2.7120582225/-732.389691357
loan pct  0.00369203864944     -2.70401104694/-732.389691357
end loan  0.00367014765296     -2.68797830679/-732.389691357
loan report  0.00365974721844     -2.68036113576/-732.389691357
credit end  0.00364413937459     -2.66893011182/-732.389691357
loan mln  0.00361950996655     -2.65089178726/-732.389691357
company gain  0.00361506308574     -2.6476349376/-732.389691357
result shr  0.00360102720269     -2.63735520154/-732.389691357
loan net  0.00359157854214     -2.63043509996/-732.389691357
loan tax  0.00359064985211     -2.62975493695/-732.389691357
ct earnings  0.00354575678252     -2.59687571558/-732.389691357
loan quarter  0.0035249489537     -2.58163627625/-732.389691357
company tax  0.00350313690228     -2.56566135464/-732.389691357
note report  0.0034928446189     -2.55812339239/-732.389691357
loan loss  0.00348975199395     -2.55585838576/-732.389691357
ct dlr  0.00347068454289     -2.54189358116/-732.389691357
ct pct  0.00345949273161     -2.53369681396/-732.389691357
credit mln  0.00345426100984     -2.52986515486/-732.389691357
earnings oper  0.00344861304592     -2.52572864431/-732.389691357
credit earnings  0.00344633549188     -2.52406058721/-732.389691357
lt tax  0.00342773796712     -2.51043995179/-732.389691357
dlrs loan  0.00342616683372     -2.50928926989/-732.389691357
loan result  0.00341289156264     -2.4995665982/-732.389691357
include loan  0.00339202557751     -2.48428456579/-732.389691357
earnings lt  0.00336812799837     -2.46678222517/-732.389691357
earnings loan  0.00336355903758     -2.46343596539/-732.389691357
credit dlrs  0.00334080195527     -2.44676891291/-732.389691357
ct result  0.00333697766754     -2.44396804399/-732.389691357
company shr  0.00333670935825     -2.44377153703/-732.389691357
share tax  0.00331895898058     -2.43077134341/-732.389691357
credit result  0.00331294012301     -2.42636319418/-732.389691357
credit shr  0.00330941455055     -2.42378110125/-732.389691357
company qtr  0.00329808959861     -2.4154868232/-732.389691357
loan note  0.00328635486145     -2.40689242267/-732.389691357
billion operation  0.00324530720681     -2.37682954355/-732.389691357
earnings mln  0.00324479572775     -2.37645494156/-732.389691357
net report  0.00323536943328     -2.36955122066/-732.389691357
credit net  0.003225292684     -2.36217111337/-732.389691357
dlr loan  0.00322349430772     -2.36085400112/-732.389691357
lt report  0.00322241483868     -2.36006340912/-732.389691357
ct operation  0.00321987222112     -2.35820122223/-732.389691357
credit year  0.00321298578394     -2.35315766663/-732.389691357
earnings include  0.00317573907421     -2.32587856039/-732.389691357
mln tax  0.00317385024675     -2.32449520263/-732.389691357
company oper  0.00316510364207     -2.31808927953/-732.389691357
ct tax  0.00316488250784     -2.3179273231/-732.389691357
ct oper  0.00315592907687     -2.31136992255/-732.389691357
billion gain  0.00315284526359     -2.3091113695/-732.389691357
corp report  0.00314940685487     -2.30659311439/-732.389691357
credit operation  0.00314931343002     -2.306524691/-732.389691357
lt operation  0.00314370936941     -2.30242033478/-732.389691357
oper profit  0.00313043774485     -2.29270033376/-732.389691357
earnings net  0.00312374764097     -2.28780057065/-732.389691357
