Topic 0
Topic coherence: -8241.12145643
AVG: -2.60794982798
SD:  1.09793758003
net usair  0.000966855448229     -7.96797317966/-8241.12145643
shr usair  0.000941779492267     -7.76131918095/-8241.12145643
fell shr  0.000941779492267     -7.76131918095/-8241.12145643
qtr usair  0.000925251155265     -7.62510714824/-8241.12145643
ct usair  0.000890874850317     -7.34180784394/-8241.12145643
loss usair  0.000890046569226     -7.33498187887/-8241.12145643
loss piedmont  0.000890046569226     -7.33498187887/-8241.12145643
excludes expect  0.000885530970647     -7.29776828253/-8241.12145643
bank discontinue  0.000885448787976     -7.29709100516/-8241.12145643
fell rev  0.000883124779974     -7.27793857295/-8241.12145643
piedmont rev  0.000883124779974     -7.27793857295/-8241.12145643
profit usair  0.000861135394741     -7.09672137849/-8241.12145643
piedmont shr  0.000857671135871     -7.06817200039/-8241.12145643
oil piedmont  0.000845847269088     -6.97073007814/-8241.12145643
ct piedmont  0.000841674615828     -6.93634273583/-8241.12145643
piedmont qtr  0.000841142798869     -6.93195996768/-8241.12145643
net piedmont  0.000833546857344     -6.86936089099/-8241.12145643
quarter usair  0.000817912876936     -6.74051935961/-8241.12145643
piedmont quarter  0.000817912876936     -6.74051935961/-8241.12145643
end usair  0.000805621184018     -6.63922202537/-8241.12145643
operation usair  0.000805382867656     -6.63725803128/-8241.12145643
operation piedmont  0.000805382867656     -6.63725803128/-8241.12145643
tax usair  0.000803135716238     -6.61873898352/-8241.12145643
piedmont tax  0.000803135716238     -6.61873898352/-8241.12145643
january piedmont  0.000802159764259     -6.61069604472/-8241.12145643
expect usair  0.000801422614251     -6.60462110197/-8241.12145643
expect piedmont  0.000801422614251     -6.60462110197/-8241.12145643
business excludes  0.000799016423578     -6.58479139239/-8241.12145643
business piedmont  0.000799016423578     -6.58479139239/-8241.12145643
excludes rise  0.000792297367874     -6.52941883826/-8241.12145643
increase piedmont  0.000788244730065     -6.49602055786/-8241.12145643
note piedmont  0.000782653638173     -6.4499436905/-8241.12145643
usair year  0.000777894490603     -6.41072297735/-8241.12145643
piedmont year  0.000777894490603     -6.41072297735/-8241.12145643
piedmont profit  0.000777027038345     -6.40357419793/-8241.12145643
asset piedmont  0.000777027038345     -6.40357419793/-8241.12145643
earnings usair  0.000776018364967     -6.39526159812/-8241.12145643
earn shr  0.000773562779475     -6.37502481983/-8241.12145643
excludes total  0.000769996704256     -6.34563636083/-8241.12145643
billion piedmont  0.000768640905697     -6.33446306023/-8241.12145643
discontinue loan  0.00076185279605     -6.27852142417/-8241.12145643
end piedmont  0.00075642094953     -6.23375691726/-8241.12145643
bank usair  0.000752140197091     -6.19847871649/-8241.12145643
bank piedmont  0.000752140197091     -6.19847871649/-8241.12145643
note usair  0.000747745516266     -6.16226161805/-8241.12145643
march piedmont  0.000745465298997     -6.14347007059/-8241.12145643
piedmont rise  0.000743097133385     -6.12395373015/-8241.12145643
sale usair  0.00074077214669     -6.10479323241/-8241.12145643
piedmont sale  0.00074077214669     -6.10479323241/-8241.12145643
operate piedmont  0.000734091044188     -6.04973345523/-8241.12145643
income usair  0.000732651612022     -6.03787091992/-8241.12145643
income piedmont  0.000732651612022     -6.03787091992/-8241.12145643
corp usair  0.000731973988434     -6.03228654163/-8241.12145643
piedmont report  0.000728127778071     -6.00058945488/-8241.12145643
canada piedmont  0.000722697438808     -5.95583736946/-8241.12145643
investment piedmont  0.000722540157245     -5.954541193/-8241.12145643
revenue usair  0.000722382671553     -5.95324333429/-8241.12145643
piedmont revenue  0.000722382671553     -5.95324333429/-8241.12145643
bank excludes  0.000717232075184     -5.91079664404/-8241.12145643
gas usair  0.000714908067182     -5.89164421183/-8241.12145643
earn rev  0.000714908067182     -5.89164421183/-8241.12145643
compare piedmont  0.000713729155812     -5.88192866004/-8241.12145643
mln piedmont  0.000709447764557     -5.84664519471/-8241.12145643
billion usair  0.000706655940851     -5.82363743646/-8241.12145643
expect shr  0.000705657483953     -5.81540903189/-8241.12145643
fiscal piedmont  0.000705502347291     -5.81413053183/-8241.12145643
oper usair  0.000701825014096     -5.78382518233/-8241.12145643
oper rise  0.000701825014096     -5.78382518233/-8241.12145643
fell oper  0.000701825014096     -5.78382518233/-8241.12145643
earn oper  0.000701825014096     -5.78382518233/-8241.12145643
oper piedmont  0.000701825014096     -5.78382518233/-8241.12145643
result usair  0.000700196228451     -5.770402162/-8241.12145643
corp piedmont  0.000697065866526     -5.74460446918/-8241.12145643
current piedmont  0.000694911217832     -5.72684774759/-8241.12145643
mln usair  0.000693244703684     -5.71311380209/-8241.12145643
excludes report  0.000693219656164     -5.71290738243/-8241.12145643
earnings piedmont  0.000691910008571     -5.70211441756/-8241.12145643
credit usair  0.000691300755198     -5.69709348651/-8241.12145643
credit piedmont  0.000691300755198     -5.69709348651/-8241.12145643
piedmont subsidiary  0.000690483629492     -5.69035945432/-8241.12145643
expect rev  0.000690237414916     -5.6883303701/-8241.12145643
bank rev  0.000690155232246     -5.68765309273/-8241.12145643
piedmont unit  0.000689798462744     -5.68471291194/-8241.12145643
exclude piedmont  0.00068966096391     -5.68357976734/-8241.12145643
canadian qtr  0.00068912914695     -5.67919699918/-8241.12145643
fell qtr  0.00068912914695     -5.67919699918/-8241.12145643
excludes pct  0.000688832682819     -5.67675380227/-8241.12145643
canadian piedmont  0.000682870789303     -5.62762111369/-8241.12145643
month piedmont  0.000681554218969     -5.61677109767/-8241.12145643
piedmont resource  0.000680223206991     -5.6058020663/-8241.12145643
include usair  0.000678350018995     -5.59036489651/-8241.12145643
include piedmont  0.000678350018995     -5.59036489651/-8241.12145643
loan usair  0.000677744439654     -5.58537424361/-8241.12145643
loan piedmont  0.000677744439654     -5.58537424361/-8241.12145643
period piedmont  0.000671276491461     -5.53207109697/-8241.12145643
dlrs usair  0.000668350591874     -5.50795840311/-8241.12145643
dlrs piedmont  0.000668350591874     -5.50795840311/-8241.12145643
report usair  0.000666142813225     -5.48976383112/-8241.12145643
due piedmont  0.000665875317479     -5.48755936619/-8241.12145643
rev rise  0.000665707832693     -5.48617910372/-8241.12145643
piedmont result  0.000665288106544     -5.48272008955/-8241.12145643
cash excludes  0.000663338443714     -5.46665268137/-8241.12145643
rise shr  0.00066237758014     -5.45873408795/-8241.12145643
canadian shr  0.00066237758014     -5.45873408795/-8241.12145643
excludes u.s.  0.000660630946008     -5.44433986392/-8241.12145643
canada discontinue  0.000659871273306     -5.43807930892/-8241.12145643
discontinue piedmont  0.000659871273306     -5.43807930892/-8241.12145643
lt piedmont  0.000657084389359     -5.41511225983/-8241.12145643
excludes unit  0.000654890340837     -5.39703083948/-8241.12145643
cash shr  0.000650812384759     -5.36342390815/-8241.12145643
piedmont reserve  0.000649024966098     -5.34869357387/-8241.12145643
piedmont u.s.  0.000647846215651     -5.33897934827/-8241.12145643
excludes sell  0.000647086542949     -5.33271879327/-8241.12145643
cash qtr  0.000645849243138     -5.32252205524/-8241.12145643
operating piedmont  0.000644718805217     -5.31320597904/-8241.12145643
gain usair  0.000641692645674     -5.28826703069/-8241.12145643
earn piedmont  0.000639840049251     -5.27299955856/-8241.12145643
excludes interest  0.000638589082412     -5.2626901889/-8241.12145643
interest piedmont  0.000638589082412     -5.2626901889/-8241.12145643
excludes revenue  0.000638274315157     -5.26009615373/-8241.12145643
piedmont total  0.000636688113372     -5.24702407216/-8241.12145643
piedmont pretax  0.000632133160564     -5.20948615284/-8241.12145643
gas piedmont  0.000630799710786     -5.19849703127/-8241.12145643
sell shr  0.000630541589632     -5.19636982349/-8241.12145643
compare shr  0.000630541589632     -5.19636982349/-8241.12145643
charge piedmont  0.000630464046094     -5.19573077777/-8241.12145643
lt usair  0.000629112024211     -5.18458860122/-8241.12145643
discontinue pct  0.000629074252161     -5.18427731717/-8241.12145643
fell piedmont  0.000628088029031     -5.17614973257/-8241.12145643
expense piedmont  0.000618089446653     -5.09375020081/-8241.12145643
expect oper  0.0006177166577     -5.09067800177/-8241.12145643
ct fell  0.000617697005468     -5.09051604534/-8241.12145643
canadian rev  0.000616507598204     -5.08071399561/-8241.12145643
compare rev  0.000616507598204     -5.08071399561/-8241.12145643
gain piedmont  0.000614615802735     -5.06512347938/-8241.12145643
excludes reserve  0.000614116844191     -5.06101150142/-8241.12145643
earn excludes  0.000612763206312     -5.04985600725/-8241.12145643
excludes piedmont  0.000612763206312     -5.04985600725/-8241.12145643
excludes march  0.000612156708112     -5.04485778192/-8241.12145643
pct piedmont  0.000610369191127     -5.03012663734/-8241.12145643
cost piedmont  0.000608810325553     -5.01727983681/-8241.12145643
earnings excludes  0.000607801652175     -5.008967237/-8241.12145643
company excludes  0.0006062889389     -4.99650078316/-8241.12145643
company piedmont  0.0006062889389     -4.99650078316/-8241.12145643
rev total  0.000603722867847     -4.97535347995/-8241.12145643
canadian excludes  0.000598762432907     -4.93447393313/-8241.12145643
extraordinary piedmont  0.000596560145439     -4.91632461463/-8241.12145643
pct usair  0.000594166130254     -4.89659524472/-8241.12145643
company usair  0.000594144540945     -4.8964173246/-8241.12145643
excludes loan  0.000593636083258     -4.89222706305/-8241.12145643
excludes oil  0.0005935221999     -4.89128853646/-8241.12145643
canada rev  0.000592157672466     -4.88004330015/-8241.12145643
capital rev  0.000592157672466     -4.88004330015/-8241.12145643
piedmont sell  0.000590055029492     -4.86271516402/-8241.12145643
dlr piedmont  0.000589433748093     -4.85759510855/-8241.12145643
canada excludes  0.000589388847923     -4.8572250808/-8241.12145643
shr unit  0.000584493291022     -4.81688020178/-8241.12145643
fourth piedmont  0.000584415747484     -4.81624115607/-8241.12145643
bank pretax  0.000583923484299     -4.81218435537/-8241.12145643
qtr sell  0.000581461373858     -4.79189380418/-8241.12145643
charge usair  0.000581263811605     -4.79026566966/-8241.12145643
canada shr  0.000578269223744     -4.76558690739/-8241.12145643
canadian discontinue  0.00057576291691     -4.74493212836/-8241.12145643
capital discontinue  0.00057576291691     -4.74493212836/-8241.12145643
discontinue expect  0.000574293068012     -4.73281892507/-8241.12145643
cash rev  0.000571886877338     -4.71298921548/-8241.12145643
piedmont share  0.000570840864851     -4.70436889953/-8241.12145643
oper report  0.000568516423212     -4.68521289366/-8241.12145643
oper revenue  0.000568516423212     -4.68521289366/-8241.12145643
cash oper  0.000568516423212     -4.68521289366/-8241.12145643
oper total  0.000568516423212     -4.68521289366/-8241.12145643
compare oper  0.000568516423212     -4.68521289366/-8241.12145643
canada qtr  0.00056796495402     -4.68066816907/-8241.12145643
loan rev  0.000566559240319     -4.66908351173/-8241.12145643
rev sell  0.000562894415263     -4.63888124333/-8241.12145643
report shr  0.000561310131088     -4.62582496502/-8241.12145643
dlr usair  0.000558938574638     -4.60628068027/-8241.12145643
billion excludes  0.000558159715175     -4.59986200484/-8241.12145643
shr total  0.000556145832194     -4.5832653506/-8241.12145643
capital shr  0.000556145832194     -4.5832653506/-8241.12145643
earn qtr  0.000555820556065     -4.58058471052/-8241.12145643
increase rev  0.000554522633358     -4.56988837184/-8241.12145643
canada pretax  0.000554480726016     -4.56954300834/-8241.12145643
end excludes  0.000553296114831     -4.55978048369/-8241.12145643
canadian note  0.000546531629859     -4.50403354145/-8241.12145643
debt piedmont  0.000546019093896     -4.49980967033/-8241.12145643
share usair  0.000544925205019     -4.49079479923/-8241.12145643
capital qtr  0.000544781794085     -4.48961293231/-8241.12145643
revenue shr  0.000541853719612     -4.46548231494/-8241.12145643
shr subsidiary  0.000541853719612     -4.46548231494/-8241.12145643
cost excludes  0.000540905030031     -4.45766404888/-8241.12145643
qtr rise  0.000539617495192     -4.44705331789/-8241.12145643
canadian net  0.000538957310425     -4.44161265505/-8241.12145643
excludes fiscal  0.000537285634499     -4.42783617071/-8241.12145643
canadian oper  0.000533608301305     -4.39753082121/-8241.12145643
increase oper  0.000533608301305     -4.39753082121/-8241.12145643
fourth shr  0.000533182695364     -4.39402335096/-8241.12145643
increase shr  0.000533182695364     -4.39402335096/-8241.12145643
pretax u.s.  0.000531901868746     -4.38346790324/-8241.12145643
canadian ct  0.000530436713193     -4.37139337837/-8241.12145643
canada ct  0.000530436713193     -4.37139337837/-8241.12145643
pretax reserve  0.000530008487795     -4.36786432086/-8241.12145643
excludes fell  0.000528654849916     -4.35670882669/-8241.12145643
acquisition shr  0.000525090183337     -4.32733197646/-8241.12145643
report rev  0.000525002943372     -4.32661302131/-8241.12145643
asset excludes  0.000524701969157     -4.32413265625/-8241.12145643
debt excludes  0.000523895702346     -4.31748811354/-8241.12145643
expect pretax  0.000522020702124     -4.30203600898/-8241.12145643
